latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-06T07:00,12.6,3,0,15,
2024-10-06T08:00,11.8,3,0,16.4,
2024-10-06T09:00,11.8,3,0,14.8,
2024-10-06T10:00,11.8,3,0,13.1,
2024-10-06T11:00,11.3,3,0,10.5,
2024-10-06T12:00,10.8,3,0,13.1,
2024-10-06T13:00,10.7,3,0,18.2,
2024-10-06T14:00,10.6,3,0,19,
2024-10-06T15:00,10.3,3,0,19,
2024-10-06T16:00,9.1,0,0,20.5,
2024-10-06T17:00,8,0,0,23,
2024-10-06T18:00,7.5,0,0,24.2,
2024-10-06T19:00,7.4,0,0,26,
2024-10-06T20:00,7.3,0,0,28.8,
2024-10-06T21:00,7.2,0,0,27.9,
2024-10-06T22:00,6.9,0,0,27,
2024-10-06T23:00,6.7,1,0,27.1,
2024-10-07T00:00,6.6,0,0,28.7,
2024-10-07T01:00,6.7,3,0,24.8,
2024-10-07T02:00,8.2,1,0,27.4,
2024-10-07T03:00,10.1,3,0,21.3,
2024-10-07T04:00,11.6,3,0,17.9,
2024-10-07T05:00,12.4,3,0,16.9,
2024-10-07T06:00,13.9,3,0,18.2,
2024-10-07T07:00,15,3,0,17.3,
2024-10-07T08:00,16,51,0.1,14.3,
2024-10-07T09:00,15.9,3,0,9.4,
2024-10-07T10:00,15.9,3,0,14.9,
2024-10-07T11:00,15.4,3,0,21.9,
2024-10-07T12:00,13.7,3,0,21.1,
2024-10-07T13:00,13.4,3,0,20.2,
2024-10-07T14:00,12.7,3,0,18.6,
2024-10-07T15:00,12.2,3,0,18.5,
2024-10-07T16:00,12,3,0,20.1,
2024-10-07T17:00,11.6,3,0,15.1,
2024-10-07T18:00,10.9,2,0,14.8,
2024-10-07T19:00,11,3,0,22.3,
2024-10-07T20:00,11.4,3,0,19.5,
2024-10-07T21:00,11.2,2,0,21.8,
2024-10-07T22:00,11.2,3,0,24.3,
2024-10-07T23:00,11.8,3,0,25,
2024-10-08T00:00,12.1,51,0.1,24.8,
2024-10-08T01:00,12.3,51,0.2,26.5,
2024-10-08T02:00,13.3,3,0,26.4,
2024-10-08T03:00,13.3,1,0,24.2,
2024-10-08T04:00,15.5,2,0,16.9,
2024-10-08T05:00,17,1,0,13.8,
2024-10-08T06:00,18.5,0,0,15.4,
2024-10-08T07:00,19.5,1,0,16.2,
2024-10-08T08:00,20.4,1,0,12.7,
2024-10-08T09:00,21,3,0,13.5,
2024-10-08T10:00,20.7,3,0,7.4,
2024-10-08T11:00,18.5,3,0,8.7,
2024-10-08T12:00,17.4,3,0,9.2,
2024-10-08T13:00,16.4,53,0.5,9.4,
2024-10-08T14:00,16.1,53,0.9,10.5,
2024-10-08T15:00,15.8,53,0.9,13.1,
2024-10-08T16:00,16,53,0.9,17.1,
2024-10-08T17:00,15.5,61,1.5,20,
2024-10-08T18:00,15.2,63,3.6,16.4,
2024-10-08T19:00,14.8,61,2.1,16.7,
2024-10-08T20:00,14.5,55,1,23,
2024-10-08T21:00,14.6,51,0.2,22.2,
2024-10-08T22:00,14.2,53,0.5,17.1,
2024-10-08T23:00,13.8,3,0,19.3,
2024-10-09T00:00,13.6,3,0,22.5,
2024-10-09T01:00,13.4,3,0,19.3,
2024-10-09T02:00,13.6,2,0,23.4,
2024-10-09T03:00,14.7,1,0,24.5,
2024-10-09T04:00,16,3,0,25.8,
2024-10-09T05:00,17.3,1,0,26.9,
2024-10-09T06:00,18.5,3,0,23.5,
2024-10-09T07:00,19.1,3,0,27.3,
2024-10-09T08:00,19.4,3,0,25.1,
2024-10-09T09:00,19.4,3,0,27.5,
2024-10-09T10:00,18.8,3,0,26.6,
2024-10-09T11:00,17.7,51,0.3,24.9,
2024-10-09T12:00,16.8,53,0.5,30.9,
2024-10-09T13:00,16.5,51,0.3,35.9,
2024-10-09T14:00,16.6,51,0.1,34.8,
2024-10-09T15:00,16.7,51,0.2,36.6,
2024-10-09T16:00,16.6,51,0.2,33.2,
2024-10-09T17:00,16.9,3,0,35.3,
2024-10-09T18:00,17,3,0,36.7,
2024-10-09T19:00,17.1,3,0,36.6,
2024-10-09T20:00,16.1,3,0,37.1,
2024-10-09T21:00,16,51,0.1,36.1,
2024-10-09T22:00,15.6,53,0.5,37.7,
2024-10-09T23:00,16.1,3,0,42.4,
2024-10-10T00:00,16.1,51,0.3,42.4,
2024-10-10T01:00,17,53,0.8,41.1,
2024-10-10T02:00,17.7,3,0,43.9,
2024-10-10T03:00,18.6,51,0.1,46.6,
2024-10-10T04:00,17.6,51,0.1,48.1,
2024-10-10T05:00,15.4,51,0.1,53.8,
2024-10-10T06:00,15.7,51,0.1,48.8,
2024-10-10T07:00,17.3,51,0.2,45.4,
2024-10-10T08:00,16.9,51,0.1,38.8,
2024-10-10T09:00,17.2,51,0.1,34.6,
2024-10-10T10:00,16.4,2,0,32.7,
2024-10-10T11:00,14.8,51,0.2,35.6,
2024-10-10T12:00,14,1,0,35.5,
2024-10-10T13:00,12.7,0,0,32.7,
2024-10-10T14:00,11.7,1,0,30.7,
2024-10-10T15:00,10.8,0,0,29.3,
2024-10-10T16:00,10.1,0,0,27.5,
2024-10-10T17:00,9.3,0,0,27.3,
2024-10-10T18:00,8.9,0,0,27.2,
2024-10-10T19:00,8.3,0,0,26.2,
2024-10-10T20:00,7.8,0,0,25.7,
2024-10-10T21:00,7.2,0,0,24.5,
2024-10-10T22:00,6.9,0,0,24.1,
2024-10-10T23:00,6.5,1,0,24.9,
2024-10-11T00:00,6.9,3,0,23.6,
2024-10-11T01:00,7.6,51,0.1,23.6,
2024-10-11T02:00,8.4,51,0.1,19.5,
2024-10-11T03:00,9.7,1,0,22.3,
2024-10-11T04:00,10.7,1,0,22.4,
2024-10-11T05:00,11.6,0,0,19.3,
2024-10-11T06:00,12.2,0,0,19.7,
2024-10-11T07:00,12.6,0,0,19.9,
2024-10-11T08:00,12.4,0,0,23,
